ControlId,FeatureName,Status,SupportedResources,Severity,PropertyPath,LineNumber,CurrentValue,ExpectedProperty,ExpectedValue,ResourcePath,ResourceLineNumber,Description,FilePath
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthSettings.clientId | $.properties.siteAuthSettings.clientId,Non-null string,"resources[12] , resources[13]",853,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_Managed_Service_Identity,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.identity.type,Allow 'SystemAssigned',"resources[12] , resources[13]",853,Use Managed Service Identity (MSI) for accessing other AAD-protected resources from the app service.,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthEnabled | $.properties.siteAuthEnabled,'True',"resources[22] , resources[21]",1184,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthSettings.clientId | $.properties.siteAuthSettings.clientId,Non-null string,"resources[22] , resources[21]",1184,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_Managed_Service_Identity,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.identity.type,Allow 'SystemAssigned',"resources[22] , resources[21]",1184,Use Managed Service Identity (MSI) for accessing other AAD-protected resources from the app service.,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthEnabled | $.properties.siteAuthEnabled,'True',resources[24],1346,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthSettings.clientId | $.properties.siteAuthSettings.clientId,Non-null string,resources[24],1346,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_Managed_Service_Identity,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.identity.type,Allow 'SystemAssigned',resources[24],1346,Use Managed Service Identity (MSI) for accessing other AAD-protected resources from the app service.,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthEnabled | $.properties.siteAuthEnabled,'True',"resources[28] , resources[27]",1490,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",High,Not found,-1,,$.properties.siteConfig.siteAuthSettings.clientId | $.properties.siteAuthSettings.clientId,Non-null string,"resources[28] , resources[27]",1490,App Service must authenticate users using Azure Active Directory backed credentials,D:\a\1\s\infrastructure\templates\template.json
Azure_AppService_AuthN_Use_Managed_Service_Identity,AppService,Failed,"Microsoft.Web/sites , Microsoft.Web/serverfarms , Microsoft.Web/sites/config",Medium,Not found,-1,,$.identity.type,Allow 'SystemAssigned',"resources[28] , resources[27]",1490,Use Managed Service Identity (MSI) for accessing other AAD-protected resources from the app service.,D:\a\1\s\infrastructure\templates\template.json
