year,level,country_code,country_name,school_type,characteristic_desc,characteristic_1,characteristic_2,headcount,perm_excl,perm_excl_rate,fixed_excl,fixed_excl_rate,one_plus_fixed,one_plus_fixed_rate
201617,NATIONAL,E92000001,England,Total,Age,Age_9,Total,621675,265,0.04,13380,2.15,6315,1.02
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_9,Male,318225,240,0.07,11835,3.72,5515,1.73
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_9,Female,303450,25,0.01,1545,0.51,795,0.26
201617,NATIONAL,E92000001,England,Total,Age,Age_10,Total,601495,250,0.04,14735,2.45,7400,1.23
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_10,Male,307530,225,0.07,13120,4.27,6490,2.11
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_10,Female,293960,25,0.01,1615,0.55,910,0.31
201617,NATIONAL,E92000001,England,Total,Age,Age_11,Total,583650,675,0.12,44970,7.71,20105,3.44
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_11,Male,298475,585,0.2,36865,12.35,16110,5.4
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_11,Female,285175,85,0.03,8110,2.84,3995,1.4
201617,NATIONAL,E92000001,England,Total,Age,Age_12,Total,571860,1210,0.21,65445,11.44,29690,5.19
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_12,Male,292305,920,0.31,47510,16.25,21290,7.28
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_12,Female,279555,290,0.1,17935,6.42,8400,3
201617,NATIONAL,E92000001,England,Total,Age,Age_13,Total,554815,1670,0.3,76020,13.7,35835,6.46
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_13,Male,283790,1195,0.42,50755,17.88,23760,8.37
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_13,Female,271025,470,0.17,25265,9.32,12075,4.46
201617,NATIONAL,E92000001,England,Total,Age,Age_14,Total,533155,1930,0.36,77105,14.46,37765,7.08
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_14,Male,272730,1435,0.53,52040,19.08,25370,9.3
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_14,Female,260425,495,0.19,25065,9.63,12395,4.76
201617,NATIONAL,E92000001,England,Total,Age,Age_15,Total,529825,875,0.16,46820,8.84,26950,5.09
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_15,Male,269445,675,0.25,32715,12.14,18690,6.94
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_15,Female,260385,200,0.08,14105,5.42,8255,3.17
201617,NATIONAL,E92000001,England,Total,Age,Age_16,Total,221395,45,0.02,1830,0.83,1595,0.72
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_16,Male,106405,35,0.03,1390,1.31,1190,1.12
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_16,Female,114990,10,0.01,440,0.38,405,0.35
201617,NATIONAL,E92000001,England,Total,Age,Age_17,Total,196130,20,0.01,890,0.45,805,0.41
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_17,Male,92490,15,0.02,720,0.78,640,0.69
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_17,Female,103640,5,0,175,0.17,165,0.16
201617,NATIONAL,E92000001,England,Total,Age,Age_18,Total,22040,0,0,120,0.54,105,0.47
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_18,Male,12060,0,0,95,0.79,80,0.67
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_18,Female,9985,0,0,25,0.23,20,0.22
201617,NATIONAL,E92000001,England,Total,Age,Age_19_and_over,Total,580,0,0,x,x,x,x
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_19_and_over,Male,290,0,0,x,x,x,x
201617,NATIONAL,E92000001,England,Total,Age_gender,Age_19_and_over,Female,285,0,0,0,0,0,0
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_White_Total,Total,5984600,5895,0.1,303725,5.08,137605,2.3
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_White_Total,Male,3053265,4565,0.15,223435,7.32,99815,3.27
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_White_Total,Female,2931335,1335,0.05,80290,2.74,37790,1.29
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_British,Total,5439960,5470,0.1,284270,5.23,127445,2.34
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_British,Male,2775000,4220,0.15,208655,7.52,92225,3.32
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_British,Female,2664960,1250,0.05,75610,2.84,35220,1.32
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Irish,Total,23295,35,0.14,1160,4.98,610,2.63
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Irish,Male,11865,20,0.16,875,7.37,445,3.73
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Irish,Female,11430,15,0.12,285,2.5,170,1.48
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Traveller_of_Irish_heritage,Total,5810,25,0.45,970,16.72,425,7.3
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Traveller_of_Irish_heritage,Male,2990,20,0.74,795,26.61,330,11.11
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Traveller_of_Irish_heritage,Female,2820,5,0.14,175,6.24,90,3.26
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Gypsy_Roma,Total,25565,90,0.36,4420,17.29,1815,7.1
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Gypsy_Roma,Male,12920,75,0.57,3240,25.07,1300,10.07
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Gypsy_Roma,Female,12645,20,0.14,1180,9.33,515,4.06
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_other_white_background,Total,489975,275,0.06,12905,2.63,7315,1.49
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_white_background,Male,250495,230,0.09,9870,3.94,5520,2.2
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_white_background,Female,239480,50,0.02,3040,1.27,1795,0.75
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_Mixed_Total,Total,447810,635,0.14,25680,5.73,13030,2.91
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Mixed_Total,Male,226990,490,0.22,18970,8.36,9355,4.12
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Mixed_Total,Female,220820,145,0.07,6705,3.04,3680,1.67
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_and_Black_Caribbean,Total,119645,285,0.24,11590,9.69,5620,4.7
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_Caribbean,Male,59865,215,0.36,8490,14.19,3970,6.63
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_Caribbean,Female,59780,70,0.11,3100,5.19,1650,2.76
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_and_Black_African,Total,59580,70,0.11,3295,5.53,1725,2.89
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_African,Male,29855,45,0.15,2460,8.23,1245,4.17
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Black_African,Female,29725,20,0.07,835,2.81,480,1.61
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_White_and_Asian,Total,105120,95,0.09,3360,3.2,1770,1.68
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Asian,Male,53610,80,0.15,2475,4.62,1280,2.39
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_White_and_Asian,Female,51510,15,0.03,885,1.72,485,0.95
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_other_Mixed_background,Total,163470,185,0.11,7430,4.55,3920,2.4
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Mixed_background,Male,83660,150,0.18,5545,6.63,2860,3.42
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Mixed_background,Female,79810,40,0.05,1885,2.36,1060,1.33
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_Asian_Total,Total,871920,310,0.04,15680,1.8,10840,1.24
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Asian_Total,Male,444970,275,0.06,12770,2.87,8725,1.96
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Asian_Total,Female,426950,35,0.01,2910,0.68,2115,0.49
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Indian,Total,238345,50,0.02,1990,0.84,1495,0.63
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Indian,Male,122435,45,0.04,1615,1.32,1205,0.98
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Indian,Female,115910,5,0,375,0.32,290,0.25
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Pakistani,Total,349980,185,0.05,9070,2.59,6120,1.75
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Pakistani,Male,178050,165,0.09,7365,4.14,4915,2.76
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Pakistani,Female,171930,20,0.01,1705,0.99,1205,0.7
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Bangladeshi,Total,139075,40,0.03,2610,1.88,1850,1.33
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Bangladeshi,Male,69945,40,0.06,2110,3.02,1475,2.11
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Bangladeshi,Female,69130,5,0,500,0.72,380,0.55
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_other_Asian_background,Total,144520,30,0.02,2010,1.39,1375,0.95
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Asian_background,Male,74540,25,0.03,1680,2.25,1135,1.52
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_Asian_background,Female,69980,5,0.01,330,0.47,240,0.34
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Major_Black_Total,Total,452570,620,0.14,25555,5.65,15885,3.51
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Black_Total,Male,227205,495,0.22,18920,8.33,11375,5.01
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Major_Black_Total,Female,225365,125,0.06,6640,2.95,4510,2
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Black_Caribbean,Total,92595,260,0.28,9445,10.2,5425,5.86
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Black_Caribbean,Male,46460,210,0.45,6805,14.64,3755,8.08
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Black_Caribbean,Female,46135,55,0.11,2640,5.73,1670,3.62
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Black_African,Total,300635,270,0.09,12650,4.21,8385,2.79
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Black_African,Male,150495,215,0.14,9450,6.28,6100,4.05
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Black_African,Female,150135,50,0.03,3195,2.13,2285,1.52
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_other_black_background,Total,59345,90,0.15,3465,5.84,2075,3.5
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_black_background,Male,30250,70,0.22,2665,8.81,1520,5.03
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_other_black_background,Female,29100,20,0.07,800,2.75,555,1.91
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Chinese,Total,35130,x,x,195,0.56,125,0.36
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Chinese,Male,17800,x,x,170,0.95,105,0.58
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Chinese,Female,17335,0,0,30,0.16,25,0.13
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minor_Any_Other_Ethnic_Group,Total,146855,100,0.07,4570,3.11,2780,1.89
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_Other_Ethnic_Group,Male,75835,80,0.11,3555,4.69,2130,2.81
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minor_Any_Other_Ethnic_Group,Female,71020,20,0.03,1015,1.43,650,0.92
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Minority_ethnic_pupil,Total,2498930,2095,0.08,91140,3.65,52825,2.11
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minority_ethnic_pupil,Male,1271065,1685,0.13,69160,5.44,39285,3.09
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Minority_ethnic_pupil,Female,1227865,405,0.03,21980,1.79,13540,1.1
201617,NATIONAL,E92000001,England,Total,Ethnicity,Ethnicity_Unclassified,Total,86185,155,0.18,6460,7.49,3205,3.72
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Unclassified,Male,44345,125,0.28,4670,10.53,2300,5.19
201617,NATIONAL,E92000001,England,Total,Ethnicity_gender,Ethnicity_Unclassified,Female,41840,30,0.07,1785,4.27,905,2.16
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_Nursery,Total,309295,0,0,130,0.04,75,0.02
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Nursery,Male,157055,0,0,105,0.07,60,0.04
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Nursery,Female,152240,0,0,25,0.02,15,0.01
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_Reception,Total,663485,50,0.01,3280,0.49,1435,0.22
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Reception,Male,339995,40,0.01,2905,0.86,1255,0.37
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Reception,Female,323490,10,0,370,0.11,180,0.06
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_1,Total,666745,120,0.02,6940,1.04,2705,0.41
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_1,Male,342005,105,0.03,6060,1.77,2310,0.68
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_1,Female,324740,10,0,880,0.27,395,0.12
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_2,Total,655940,140,0.02,8405,1.28,3345,0.51
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_2,Male,336365,130,0.04,7290,2.17,2895,0.86
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_2,Female,319575,10,0,1110,0.35,450,0.14
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_3,Total,643665,185,0.03,10015,1.56,4130,0.64
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_3,Male,329250,160,0.05,8685,2.64,3560,1.08
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_3,Female,314415,20,0.01,1330,0.42,570,0.18
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_4,Total,646855,280,0.04,11560,1.79,5080,0.79
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_4,Male,330735,255,0.08,10190,3.08,4450,1.35
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_4,Female,316120,25,0.01,1370,0.43,630,0.2
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_5,Total,621565,255,0.04,13290,2.14,6265,1.01
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_5,Male,318155,230,0.07,11755,3.7,5475,1.72
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_5,Female,303410,25,0.01,1535,0.51,790,0.26
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_6,Total,601345,245,0.04,14660,2.44,7350,1.22
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_6,Male,307430,220,0.07,13050,4.24,6445,2.1
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_6,Female,293915,25,0.01,1610,0.55,905,0.31
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_7,Total,583750,665,0.11,44850,7.68,19985,3.42
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_7,Male,298505,580,0.19,36760,12.31,16015,5.37
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_7,Female,285250,85,0.03,8090,2.84,3970,1.39
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_8,Total,571840,1185,0.21,65205,11.4,29455,5.15
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_8,Male,292315,900,0.31,47345,16.2,21125,7.23
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_8,Female,279525,285,0.1,17860,6.39,8330,2.98
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_9,Total,554955,1635,0.29,75220,13.55,35455,6.39
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_9,Male,283825,1175,0.41,50240,17.7,23515,8.28
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_9,Female,271130,460,0.17,24980,9.21,11940,4.4
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_10,Total,535360,1900,0.35,76830,14.35,37595,7.02
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_10,Male,273760,1415,0.52,51820,18.93,25250,9.22
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_10,Female,261600,485,0.19,25010,9.56,12345,4.72
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_11,Total,529215,820,0.16,46380,8.76,26690,5.04
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_11,Male,269195,640,0.24,32415,12.04,18525,6.88
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_11,Female,260025,180,0.07,13965,5.37,8165,3.14
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_12_and_above,Total,436905,60,0.01,2615,0.6,2335,0.53
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_12_and_above,Male,209430,50,0.02,2020,0.96,1780,0.85
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_12_and_above,Female,227475,10,0,595,0.26,560,0.25
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_Not_followed,Total,1410,0,0,25,1.84,15,1.21
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Not_followed,Male,985,0,0,25,2.44,15,1.53
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Not_followed,Female,425,0,0,x,x,x,x
201617,NATIONAL,E92000001,England,Total,NC_year,NC_Year_Unclassified,Total,0,180,.,2465,.,1540,.
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Unclassified,Male,0,130,.,1820,.,1125,.
201617,NATIONAL,E92000001,England,Total,NC_year_gender,NC_Year_Unclassified,Female,0,45,.,645,.,420,.
201617,NATIONAL,E92000001,England,Total,FSM_Eligible,FSM_Eligible,Total,1118520,3085,0.28,140225,12.54,58930,5.27
201617,NATIONAL,E92000001,England,Total,FSM_Eligible,FSM_NotEligible,Total,6906555,4630,0.07,241590,3.5,124510,1.8
201617,NATIONAL,E92000001,England,Total,FSM_Eligible,FSM_Unclassified,Total,0,0,.,50,.,35,.
201617,NATIONAL,E92000001,England,Total,FSM_eligible_in_last_6_years,FSM_eligible_in_last_6_years,Total,1881590,4780,0.25,231735,12.32,100985,5.37
201617,NATIONAL,E92000001,England,Total,FSM_eligible_in_last_6_years,FSM_not_eligible_in_last_6_years,Total,5394525,2335,0.04,142460,2.64,77525,1.44
201617,NATIONAL,E92000001,England,Total,FSM_eligible_in_last_6_years,FSM_unclassified_in_last_6_years,Total,748960,600,0.08,7670,1.02,4965,0.66
201617,NATIONAL,E92000001,England,Total,SEN_provision,SEN_Provision_No_SEN,Total,6880850,4115,0.06,210280,3.06,112185,1.63
201617,NATIONAL,E92000001,England,Total,SEN_provision,SEN_provision_SEN_with_statement_EHC,Total,225955,370,0.16,36005,15.93,14555,6.44
201617,NATIONAL,E92000001,England,Total,SEN_provision,SEN_provision_SEN_without_statement,Total,918270,3235,0.35,135575,14.76,56735,6.18
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Autistic_spectrum_disorder,Total,108405,125,0.12,10365,9.56,4840,4.46
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Hearing_impairment,Total,21165,25,0.11,1155,5.46,590,2.8
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Moderate_learning_difficulty,Total,259715,465,0.18,27210,10.48,11695,4.5
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Multisensory_impairment,Total,2720,x,x,90,3.27,50,1.88
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_No_specialist_assessment,Total,41245,95,0.23,3520,8.53,1495,3.62
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Other_difficulty_disability,Total,54340,130,0.24,6075,11.18,2775,5.11
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Physical_disability,Total,33685,15,0.04,915,2.71,485,1.43
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Profound_and_multiple_learning_difficulty,Total,10980,5,0.04,105,0.97,50,0.45
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Social_emotional_and_mental_health,Total,186795,2030,1.09,86560,46.34,32605,17.46
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Speech_language_and_communications_needs,Total,234075,200,0.08,12070,5.16,5470,2.34
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Severe_learning_difficulty,Total,32340,15,0.05,825,2.54,375,1.17
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Specific_learning_difficulty,Total,146875,295,0.2,15070,10.26,7055,4.8
201617,NATIONAL,E92000001,England,Total,SEN_primary_need,SEN_primary_need_Visual_impairment,Total,11890,15,0.13,635,5.33,305,2.56
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_0_to_10pc_most_deprived,Total,780130,980,0.13,50590,6.48,22990,2.95
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_10_to_20pc,Total,838380,990,0.12,47990,5.72,21760,2.6
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_20_to_30pc,Total,839980,990,0.12,44675,5.32,20780,2.47
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_30_to_40pc,Total,815200,885,0.11,39885,4.89,19330,2.37
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_40_to_50pc,Total,833635,785,0.09,41805,5.01,19855,2.38
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_50_to_60pc,Total,816965,745,0.09,39040,4.78,18730,2.29
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_60_to_70pc,Total,770640,610,0.08,31660,4.11,15795,2.05
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_70_to_80pc,Total,771970,700,0.09,32670,4.23,16145,2.09
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_80_to_90pc,Total,813435,605,0.07,30505,3.75,15615,1.92
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_90_to_100pc_least_deprived,Total,744250,430,0.06,23040,3.1,12470,1.68
201617,NATIONAL,E92000001,England,Total,IDACI_decile,IDACI_decile_unclassified,Total,495,0,0,0,0,0,0
201617,NATIONAL,E92000001,England,State-funded primary,Total,Total,Total,4689660,1255,0.03,64340,1.37,28940,0.62
201617,NATIONAL,E92000001,England,State-funded primary,Gender,Gender_male,Total,2390530,1120,0.05,56455,2.36,25175,1.05
201617,NATIONAL,E92000001,England,State-funded primary,Gender,Gender_female,Total,2299130,130,0.01,7885,0.34,3770,0.16
201617,NATIONAL,E92000001,England,State-funded primary,Age,Age_4_and_under,Total,955070,45,0,3290,0.34,1470,0.15
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_4_and_under,Male,486690,40,0.01,2905,0.6,1280,0.26
201617,NATIONAL,E92000001,England,State-funded primary,Age_gender,Age_4_and_under,Female,468385,10,0,385,0.08,190,0.04
