term,year,level,country_code,country_name,school_type,characteristic_desc,characteristic_1,characteristic_2,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_PA_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10_exact,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,National,E92000001,England,Total,,SEN_primary_need_Unclassified,,60875,18731784,1253446,810975,442471,6.7,4.3,2.4,13280,21.8,3032480,696987,378828,318159,23,12.5,10.5,552755,62433,12917,3615,7609,12831,.,46972,105269,804401,72246,21249,323743,22104,439342,1243743
six half terms,201617,National,E92000001,England,Total,,First_language_Known_or_believed_to_be_English,,5573965,1981330360,93273752,68628010,24645742,4.7,3.5,1.2,613580,11,196807481,36271517,22558254,13713263,18.4,11.5,7,52227319,5831590,425873,538740,251025,1469137,.,1687092,5660063,68090839,6861529,1422853,14933938,1248025,24466345,92557184
six half terms,201617,National,E92000001,England,Total,,First_language_Known_or_believed_to_be_other_than_English,,1310975,454162371,19956197,14003636,5952561,4.4,3.1,1.3,128380,9.8,38426105,6255506,3568606,2686900,16.3,9.3,7,9938252,1126634,1216242,80907,3686,334130,.,210369,1005531,13915751,2107781,211153,3227481,370986,5917401,19833152
six half terms,201617,National,E92000001,England,Total,,First_language_Unclassified,,14830,4724079,245338,163839,81499,5.2,3.5,1.7,2315,15.6,575718,110879,60951,49928,19.3,10.6,8.7,115062,13784,7910,1168,261,2609,.,5670,15851,162315,15420,3718,54351,7339,80828,243143
six half terms,201617,National,E92000001,England,State-funded primary,,Total,,3909500,1404325264,56595915,41781439,14814476,4,3,1.1,325230,8.3,103578766,16112021,10246778,5865243,15.6,9.9,5.7,32519361,3173736,987526,1952,193796,1277823,.,321948,2811668,41287810,6400983,1022005,6549627,666875,14639490,55927300
six half terms,201617,National,E92000001,England,State-funded primary,,Gender_male,,1993460,715709716,29222133,21620935,7601198,4.1,3,1.1,170810,8.6,54310175,8627927,5549594,3078333,15.9,10.2,5.7,16608077,1680200,503122,1111,97829,643899,.,284824,1547296,21366358,3237479,527160,3401144,345875,7511658,28878016
six half terms,201617,National,E92000001,England,State-funded primary,,Gender_female,,1916040,688615548,27373782,20160504,7213278,4,2.9,1,154420,8.1,49268591,7484094,4697184,2786910,15.2,9.5,5.7,15911284,1493536,484404,841,95967,633924,.,37124,1264372,19921452,3163504,494845,3148483,321000,7127832,27049284
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Major_White_Total,,2894155,1048763318,42481555,31596883,10884672,4.1,3,1,239865,8.3,78035061,12232437,7958282,4274155,15.7,10.2,5.5,25129796,2449510,67763,1187,189131,999733,.,256059,2060939,31154118,4786881,754028,4720831,469850,10731590,41885708
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_White_British,,2594700,944308261,37249507,27987672,9261835,3.9,3,1,201695,7.8,66642904,10270701,6835904,3434797,15.4,10.3,5.2,22395626,2204993,30166,1085,57979,887767,.,240013,1773559,27591188,4255915,685809,3799419,388216,9129359,36720547
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_Irish,,10405,3739631,178048,126728,51320,4.8,3.4,1.4,1275,12.2,397454,71860,40053,31807,18.1,10.1,8,94417,9257,355,2,4330,3525,.,762,12890,125538,11661,3854,32083,3235,50833,176371
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_Traveller_of_Irish_heritage,,4445,1319725,237014,126932,110082,18,9.6,8.3,2895,65.1,816910,209903,109336,100567,25.7,13.4,12.3,53584,4645,473,13,48870,937,.,2240,15519,126281,9021,6409,89021,4567,109018,235299
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_Gypsy_Roma,,16535,5282917,621994,338212,283782,11.8,6.4,5.4,7685,46.5,2292336,473845,245682,228163,20.7,10.7,10,202232,16060,698,3,75740,2696,.,4634,29651,331714,45085,12504,211677,11528,280794,612508
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_Any_other_white_background,,268075,94112784,4194992,3017339,1177653,4.5,3.2,1.3,26315,9.8,7885457,1206128,727307,478821,15.3,9.2,6.1,2383937,214555,36071,84,2212,104808,.,8410,229320,2979397,465199,45452,588631,62304,1161586,4140983
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Major_Mixed_Total,,232545,83009423,3572133,2547504,1024629,4.3,3.1,1.2,23250,10,7374543,1166358,689465,476893,15.8,9.3,6.5,1967671,188161,59278,370,564,75639,.,27578,210554,2529815,321289,108008,535467,52331,1017095,3546910
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_White_and_Black_Caribbean,,61085,21743897,1088141,727940,360201,5,3.3,1.7,8220,13.5,2636993,430468,240561,189907,16.3,9.1,7.2,575995,54513,1423,37,62,14667,.,13776,63859,724332,87456,44923,208170,18118,358667,1082999
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_White_and_Black_African,,32490,11563034,444525,322910,121615,3.8,2.8,1.1,2640,8.1,822750,128403,78559,49844,15.6,9.5,6.1,248852,25143,5952,22,35,7982,.,3557,28106,319649,38027,12769,62649,6712,120157,439806
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_White_and_Asian,,54360,19573063,774324,579825,194499,4,3,1,4415,8.1,1411214,217379,134589,82790,15.4,9.5,5.9,441205,41288,24778,267,53,21694,.,2835,43280,575400,79456,15801,88894,8737,192888,768288
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_Any_other_Mixed_background,,84615,30129429,1265143,916829,348314,4.2,3,1.2,7975,9.4,2503586,390108,235756,154352,15.6,9.4,6.2,701619,67217,27125,44,414,31296,.,7410,75309,910434,116350,34515,175754,18764,345383,1255817
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Major_Asian_Total,,419010,149307021,6365738,4674029,1691709,4.3,3.1,1.1,35675,8.5,11282241,1604948,966597,638351,14.2,8.6,5.7,3321390,289761,646120,158,336,120358,.,7236,270906,4656265,909867,62878,648941,63865,1685551,6341816
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_Indian,,115410,40931695,1439723,1085263,354460,3.5,2.7,0.9,6580,5.7,1960671,277719,174869,102850,14.2,8.9,5.2,819980,70138,65741,55,164,44293,.,817,80469,1081657,215280,11423,113741,12768,353212,1434869
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_Pakistani,,167740,60193007,2926528,2075787,850741,4.9,3.4,1.4,18300,10.9,5985763,851446,487768,363678,14.2,8.1,6.1,1396245,124562,405588,43,56,38594,.,4693,96894,2066675,462353,31652,324981,28701,847687,2914362
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_Bangladeshi,,64690,23195036,1074089,819041,255048,4.6,3.5,1.1,6020,9.3,1957679,274714,177851,96863,14,9.1,4.9,610634,47603,108350,18,9,11707,.,859,37510,816690,115241,11008,117367,10476,254092,1070782
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Minor_Any_other_Asian_background,,71170,24987283,925398,693938,231460,3.7,2.8,0.9,4780,6.7,1378128,201069,126109,74960,14.6,9.2,5.4,494531,47458,66441,42,107,25764,.,867,56033,691243,116993,8795,92852,11920,230560,921803
six half terms,201617,National,E92000001,England,State-funded primary,,Ethnicity_Major_Black_Total,,224210,78853700,2378238,1702815,675423,3,2.2,0.9,12995,5.8,3631665,580241,331388,248853,16,9.1,6.9,1216568,143672,115594,173,86,36224,.,24798,160284,1697399,168478,67830,385976,50568,672852,2370251
